Cores,Render_composite,Render_encode,Resolution,Base,Camera Angle,Calc Ray start,Sample Volume,Write Surface,Total Render,pixels,actual pixels,objects,rank,frame, ssp
16,0.010566,0.195082,1059,302,0,0.000567601,0.115132,0.000261844,0.117249,134064,87994,27543608,6,5,127
16,0.010566,0.195082,1059,302,0,0.000566365,0.114841,0.000279002,0.116928,134064,87994,27543608,6,6,127
16,0.010566,0.195082,1059,302,0,0.000536233,0.10786,0.000273258,0.109973,134064,87994,27543608,6,7,127
16,0.010566,0.195082,1059,302,0,0.00056591,0.103415,0.000281821,0.10557,134064,87994,27543608,6,8,127
16,0.010566,0.195082,1059,302,0,0.000590226,0.109407,0.000256884,0.111554,134064,87994,27543608,6,9,127
16,0.010566,0.195082,1059,302,0,0.000567647,0.105554,0.00024088,0.107785,117975,76777,27543608,7,1,123
16,0.010566,0.195082,1059,302,0,0.000531893,0.115822,0.000271152,0.117856,117975,76777,27543608,7,2,123
16,0.010566,0.195082,1059,302,0,0.000586498,0.109686,0.000246147,0.111672,117975,76777,27543608,7,3,123
16,0.010566,0.195082,1059,302,0,0.0004878,0.113056,0.000251144,0.115011,117975,76777,27543608,7,4,123
16,0.010566,0.195082,1059,302,0,0.000601222,0.120246,0.000244823,0.122358,117975,76777,27543608,7,5,123
16,0.010566,0.195082,1059,302,0,0.000596168,0.0974616,0.000357308,0.0995944,117975,76777,27543608,7,6,123
16,0.010566,0.195082,1059,302,0,0.000529848,0.115312,0.000247614,0.117289,117975,76777,27543608,7,7,123
16,0.010566,0.195082,1059,302,0,0.000586878,0.12283,0.000237479,0.124786,117975,76777,27543608,7,8,123
16,0.010566,0.195082,1059,302,0,0.000445353,0.112279,0.000245758,0.114147,117975,76777,27543608,7,9,123
16,0.010566,0.195082,1059,302,0,0.00074747,0.146603,0.000366425,0.149346,191092,125497,27543608,8,1,142
16,0.010566,0.195082,1059,302,0,0.000727046,0.138024,0.000366382,0.140736,191092,125497,27543608,8,2,142
16,0.010566,0.195082,1059,302,0,0.000666035,0.143174,0.000343375,0.145808,191092,125497,27543608,8,3,142
16,0.010566,0.195082,1059,302,0,0.000710299,0.136741,0.00033381,0.1394,191092,125497,27543608,8,4,142
16,0.010566,0.195082,1059,302,0,0.000764283,0.138148,0.000380466,0.140956,191092,125497,27543608,8,5,142
16,0.010566,0.195082,1059,302,0,0.000717582,0.138043,0.00035246,0.140789,191092,125497,27543608,8,6,142
16,0.010566,0.195082,1059,302,0,0.00061103,0.1492,0.000375376,0.151846,191092,125497,27543608,8,7,142
16,0.010566,0.195082,1059,302,0,0.000719312,0.144868,0.000359481,0.147612,191092,125497,27543608,8,8,142
16,0.010566,0.195082,1059,302,0,0.000724956,0.144482,0.00036081,0.147169,191092,125497,27543608,8,9,142
16,0.010566,0.195082,1059,302,0,0.000617299,0.120404,0.000287814,0.122657,147204,107229,27543608,9,1,131
16,0.010566,0.195082,1059,302,0,0.000590779,0.119687,0.000309785,0.121931,147204,107229,27543608,9,2,131
16,0.010566,0.195082,1059,302,0,0.00059487,0.112069,0.000275061,0.114288,147204,107229,27543608,9,3,131
16,0.010566,0.195082,1059,302,0,0.000646285,0.116483,0.00028941,0.118736,147204,107229,27543608,9,4,131
16,0.010566,0.195082,1059,302,0,0.000548056,0.120325,0.000278746,0.122558,147204,107229,27543608,9,5,131
16,0.010566,0.195082,1059,302,0,0.000616377,0.12158,0.000280143,0.123914,147204,107229,27543608,9,6,131
16,0.010566,0.195082,1059,302,0,0.000609158,0.117198,0.000301476,0.119462,147204,107229,27543608,9,7,131
16,0.010566,0.195082,1059,302,0,0.000595842,0.115277,0.000284231,0.117544,147204,107229,27543608,9,8,131
16,0.010566,0.195082,1059,302,0,0.000614095,0.120763,0.000301233,0.123067,147204,107229,27543608,9,9,131
16,0.010566,0.195082,1059,302,0,0.000525986,0.115586,0.000267747,0.11764,123063,92400,27543608,10,1,125
16,0.010566,0.195082,1059,302,0,0.000568805,0.116048,0.000265257,0.118109,123063,92400,27543608,10,2,125
16,0.010566,0.195082,1059,302,0,0.000629207,0.115622,0.00026098,0.117704,123063,92400,27543608,10,3,125
16,0.010566,0.195082,1059,302,0,0.000594446,0.114408,0.000248497,0.116475,123063,92400,27543608,10,4,125
16,0.010566,0.195082,1059,302,0,0.000363483,0.116961,0.000254763,0.118769,123063,92400,27543608,10,5,125
16,0.010566,0.195082,1059,302,0,0.000470524,0.114786,0.000265587,0.116731,123063,92400,27543608,10,6,125
16,0.010566,0.195082,1059,302,0,0.000538858,0.115621,0.000247184,0.117675,123063,92400,27543608,10,7,125
16,0.010566,0.195082,1059,302,0,0.000551794,0.115504,0.000257373,0.117547,123063,92400,27543608,10,8,125
16,0.010566,0.195082,1059,302,0,0.000600635,0.126387,0.000246725,0.128439,123063,92400,27543608,10,9,125
16,0.010566,0.195082,1059,302,0,0.000475852,0.112106,0.000253041,0.114132,104794,80304,27543608,11,1,122
16,0.010566,0.195082,1059,302,0,0.000500947,0.0974426,0.000256524,0.0994959,104794,80304,27543608,11,2,122
16,0.010566,0.195082,1059,302,0,0.000491005,0.101659,0.000247381,0.103514,104794,80304,27543608,11,3,122
16,0.010566,0.195082,1059,302,0,0.000567385,0.104693,0.000244289,0.106569,104794,80304,27543608,11,4,122
16,0.010566,0.195082,1059,302,0,0.000478498,0.104919,0.000244465,0.106887,104794,80304,27543608,11,5,122
16,0.010566,0.195082,1059,302,0,0.000539584,0.100504,0.000235592,0.102376,104794,80304,27543608,11,6,122
16,0.010566,0.195082,1059,302,0,0.000494445,0.101995,0.000243626,0.103866,104794,80304,27543608,11,7,122
16,0.010566,0.195082,1059,302,0,0.000299417,0.102748,0.000251928,0.10439,104794,80304,27543608,11,8,122
16,0.010566,0.195082,1059,302,0,0.00053282,0.0989828,0.000232282,0.100876,104794,80304,27543608,11,9,122
16,0.010566,0.195082,1059,302,0,0.000562875,0.121207,0.000250293,0.123416,132356,80668,27543608,12,1,146
16,0.010566,0.195082,1059,302,0,0.000570263,0.11752,0.000263107,0.119643,132356,80668,27543608,12,2,146
16,0.010566,0.195082,1059,302,0,0.000561125,0.108992,0.000265778,0.111123,132356,80668,27543608,12,3,146
16,0.010566,0.195082,1059,302,0,0.000564498,0.118032,0.000263986,0.120171,132356,80668,27543608,12,4,146
16,0.010566,0.195082,1059,302,0,0.000534033,0.11901,0.000251155,0.121113,132356,80668,27543608,12,5,146
16,0.010566,0.195082,1059,302,0,0.000620284,0.118834,0.000257742,0.121058,132356,80668,27543608,12,6,146
16,0.010566,0.195082,1059,302,0,0.000570489,0.119617,0.000264151,0.121746,132356,80668,27543608,12,7,146
16,0.010566,0.195082,1059,302,0,0.000528674,0.108466,0.000254984,0.110524,132356,80668,27543608,12,8,146
16,0.010566,0.195082,1059,302,0,0.000513545,0.119142,0.000254981,0.121219,132356,80668,27543608,12,9,146
16,0.010566,0.195082,1059,302,0,0.000322363,0.121724,0.00022359,0.123354,105984,71256,27543608,13,1,134
16,0.010566,0.195082,1059,302,0,0.00045696,0.110339,0.000249212,0.112175,105984,71256,27543608,13,2,134
16,0.010566,0.195082,1059,302,0,0.000577623,0.111406,0.000231499,0.113348,105984,71256,27543608,13,3,134
16,0.010566,0.195082,1059,302,0,0.000531563,0.122365,0.000234507,0.124249,105984,71256,27543608,13,4,134
16,0.010566,0.195082,1059,302,0,0.000548774,0.108402,0.000239393,0.110306,105984,71256,27543608,13,5,134
16,0.010566,0.195082,1059,302,0,0.000511869,0.112712,0.000228549,0.114619,105984,71256,27543608,13,6,134
16,0.010566,0.195082,1059,302,0,0.000505008,0.112148,0.000515378,0.114421,105984,71256,27543608,13,7,134
16,0.010566,0.195082,1059,302,0,0.000590182,0.111748,0.000261797,0.113943,105984,71256,27543608,13,8,134
16,0.010566,0.195082,1059,302,0,0.000550803,0.108621,0.000250878,0.110693,105984,71256,27543608,13,9,134
16,0.010566,0.195082,1059,302,0,0.000553006,0.104846,0.000212243,0.106643,91327,63231,27543608,14,1,127
16,0.010566,0.195082,1059,302,0,0.000483189,0.0979682,0.000214609,0.0997082,91327,63231,27543608,14,2,127
16,0.010566,0.195082,1059,302,0,0.000477185,0.100922,0.000218858,0.102656,91327,63231,27543608,14,3,127
16,0.010566,0.195082,1059,302,0,0.00041485,0.10696,0.000223761,0.108721,91327,63231,27543608,14,4,127
16,0.010566,0.195082,1059,302,0,0.00045895,0.103838,0.00022813,0.105582,91327,63231,27543608,14,5,127
16,0.010566,0.195082,1059,302,0,0.000424444,0.0963264,0.000217701,0.0979739,91327,63231,27543608,14,6,127
16,0.010566,0.195082,1059,302,0,0.000516026,0.102506,0.000219726,0.104294,91327,63231,27543608,14,7,127
16,0.010566,0.195082,1059,302,0,0.000407249,0.0900236,0.000208334,0.0916215,91327,63231,27543608,14,8,127
16,0.010566,0.195082,1059,302,0,0.000493625,0.105881,0.000225504,0.107666,91327,63231,27543608,14,9,127
